Gene_name,UniProtKB_ID,Occurrence,Kmer_distance_median,ANI_median,Flank_index_median,Procrustes_correlation,Procrustes_signif,Mantel_correlation,Mantel_signif,Man_signif_FDR_adjusted,Roary_annotation,KEGG_pathway,GO_BP_term,GO_MF_term,GO_CC_term
rlmC,P75817,3497,19937,97.39807,97.87234,0.19287,0.00100,0.85599,0.00100,0.00156,23S rRNA (uracil(747)-C(5))-methyltransferase RlmC,NA,cellular component organization or biogenesis/macromolecule modification/cellular component biogenesis/ribonucleoprotein complex biogenesis/ribosome biogenesis/ncRNA metabolic process/RNA modification/methylation/RNA processing/ncRNA processing/rRNA methylation/rRNA base methylation/rRNA modification/macromolecule methylation/rRNA metabolic process/rRNA processing/RNA methylation,"catalytic activity, acting on RNA/transferase activity, transferring one-carbon groups/S-adenosylmethionine-dependent methyltransferase activity/methyltransferase activity/catalytic activity, acting on a nucleic acid/rRNA methyltransferase activity/catalytic activity, acting on a rRNA/RNA methyltransferase activity",NA
rmf,NA,3497,11456,98.64892,97.14286,0.17509,0.00100,0.87889,0.00100,0.00156,Ribosome modulation factor,NA,NA,NA,NA
rplA,P0A7L0,3497,8611,99.05254,100.00000,0.09478,0.00100,0.82693,0.00100,0.00156,50S ribosomal protein L1,Ribosome,cellular component organization/negative regulation of gene expression/negative regulation of metabolic process/cellular component assembly/cellular component organization or biogenesis/negative regulation of biosynthetic process/negative regulation of cellular biosynthetic process/negative regulation of cellular metabolic process/negative regulation of biological process/negative regulation of cellular process/negative regulation of macromolecule biosynthetic process/negative regulation of macromolecule metabolic process/ribosomal large subunit assembly/ribosomal large subunit biogenesis/post-transcriptional regulation of gene expression/regulation of translation/negative regulation of translation/negative regulation of cellular macromolecule biosynthetic process/protein-containing complex assembly/regulation of amide metabolic process/regulation of cellular macromolecule biosynthetic process/negative regulation of amide metabolic process/peptide biosynthetic process/negative regulation of nitrogen compound metabolic process/cellular component biogenesis/translation/ribosome assembly/peptide metabolic process/ribonucleoprotein complex assembly/ribonucleoprotein complex subunit organization/amide metabolic process/translational initiation/ribonucleoprotein complex biogenesis/amide biosynthetic process/organelle organization/ribosome biogenesis/organelle assembly/non-membrane-bounded organelle assembly/regulation of gene expression/cellular macromolecule biosynthetic process/negative regulation of protein metabolic process/regulation of cellular metabolic process/regulation of protein metabolic process/regulation of cellular biosynthetic process/regulation of metabolic process/regulation of biosynthetic process/regulation of macromolecule biosynthetic process/protein-containing complex organization/regulation of nitrogen compound metabolic process/regulation of primary metabolic process/regulation of macromolecule metabolic process/protein metabolic process,RNA binding/rRNA binding/tRNA binding/structural constituent of ribosome/structural molecule activity,intracellular organelle/ribosome/intracellular non-membrane-bounded organelle/ribosomal subunit/cytosolic ribosome/large ribosomal subunit/cytosolic large ribosomal subunit/organelle/ribonucleoprotein complex/non-membrane-bounded organelle
rpoC,P0A8T7,3497,11758,98.06679,97.56098,0.15033,0.00100,0.89328,0.00100,0.00156,DNA-directed RNA polymerase subunit beta',NA,response to chemical/response to antibiotic/RNA biosynthetic process/DNA-templated transcription/nucleic acid-templated transcription,"magnesium ion binding/nucleotidyltransferase activity/transferase activity, transferring phosphorus-containing groups/transition metal ion binding/zinc ion binding/catalytic activity, acting on RNA/DNA binding/catalytic activity, acting on a nucleic acid",NA
sbmA,P0AFY6,3497,21208,97.37029,96.96970,0.21904,0.00100,0.74274,0.00100,0.00156,Peptide antibiotic transporter SbmA,NA,organic substance transport/monoatomic ion transmembrane transport/macromolecule localization/monoatomic ion transport/monoatomic anion transport/monoatomic anion transmembrane transport/peptide transport/amide transport/cellular localization/protein localization/cellular macromolecule localization/establishment of protein localization/protein transport/nitrogen compound transport/response to chemical/response to antibiotic,xenobiotic transmembrane transporter activity/active transmembrane transporter activity/secondary active transmembrane transporter activity/peptide transmembrane transporter activity/amide transmembrane transporter activity/adenyl nucleotide binding/ATP binding/adenyl ribonucleotide binding/purine ribonucleoside triphosphate binding/purine ribonucleotide binding,NA
speA,P21170,3497,22445,97.45084,94.44444,0.12528,0.00100,0.61504,0.00100,0.00156,Biosynthetic arginine decarboxylase,Biosynthesis of secondary metabolites,cellular component organization/polyamine metabolic process/putrescine metabolic process/cellular component assembly/cellular component organization or biogenesis/carboxylic acid metabolic process/protein-containing complex assembly/cellular component biogenesis/protein complex oligomerization/protein homooligomerization/glutamine family amino acid metabolic process/small molecule catabolic process/cellular catabolic process/amine biosynthetic process/biogenic amine biosynthetic process/organic acid catabolic process/amine metabolic process/carboxylic acid catabolic process/biogenic amine metabolic process/organonitrogen compound catabolic process/protein homotetramerization/protein tetramerization/protein-containing complex organization/amino acid metabolic process/amino acid catabolic process/arginine metabolic process/arginine catabolic process/alpha-amino acid catabolic process/alpha-amino acid metabolic process/glutamine family amino acid catabolic process,magnesium ion binding/identical protein binding/carbon-carbon lyase activity/pyridoxal phosphate binding/vitamin B6 binding/lyase activity/vitamin binding/carboxy-lyase activity,periplasmic space
yciH,P08245,3497,14398,98.10037,91.42857,0.17790,0.00100,0.89555,0.00100,0.00156,putative protein YciH,NA,cellular component organization/cellular component assembly/cellular component organization or biogenesis/post-transcriptional regulation of gene expression/regulation of translation/protein-containing complex assembly/regulation of amide metabolic process/regulation of cellular macromolecule biosynthetic process/peptide biosynthetic process/cellular component biogenesis/translation/peptide metabolic process/ribonucleoprotein complex assembly/ribonucleoprotein complex subunit organization/amide metabolic process/translational initiation/ribonucleoprotein complex biogenesis/amide biosynthetic process/regulation of gene expression/cellular macromolecule biosynthetic process/regulation of cellular metabolic process/regulation of protein metabolic process/regulation of cellular biosynthetic process/regulation of metabolic process/regulation of biosynthetic process/regulation of macromolecule biosynthetic process/protein-containing complex organization/regulation of nitrogen compound metabolic process/regulation of primary metabolic process/regulation of macromolecule metabolic process/protein metabolic process,"mRNA binding/translation regulator activity/RNA binding/translation regulator activity, nucleic acid binding/ribonucleoprotein complex binding/protein-containing complex binding/translation factor activity, RNA binding/ribosomal small subunit binding",NA
yhdW,P45766,3497,18050,98.24101,92.85714,0.17167,0.00100,0.72026,0.00100,0.00156,Putative amino-acid ABC transporter-binding protein YhdW,ABC transporters,NA,NA,NA
yliI,P75804,3497,14448,98.08981,96.77419,0.16495,0.00100,0.79970,0.00100,0.00156,Aldose sugar dehydrogenase YliI,NA,NA,"quinone binding/calcium ion binding/oxidoreductase activity/carboxylic acid binding/organic acid binding/oxidoreductase activity, acting on CH-OH group of donors",external encapsulating structure/envelope/cell envelope/outer membrane/cell outer membrane/outer membrane-bounded periplasmic space/periplasmic space
zraR,P14375,3497,14318,98.23386,100.00000,0.15356,0.00100,0.87652,0.00100,0.00156,Transcriptional regulatory protein ZraR,Two-component system,regulation of DNA-templated transcription initiation/DNA-templated transcription initiation/cell communication/positive regulation of DNA-templated transcription initiation/positive regulation of RNA metabolic process/positive regulation of DNA-templated transcription/positive regulation of RNA biosynthetic process/positive regulation of nucleic acid-templated transcription/positive regulation of nucleobase-containing compound metabolic process/signaling/positive regulation of biosynthetic process/positive regulation of macromolecule biosynthetic process/positive regulation of cellular biosynthetic process/phosphorelay signal transduction system/intracellular signal transduction/positive regulation of cellular metabolic process/positive regulation of nitrogen compound metabolic process/positive regulation of cellular process/positive regulation of biological process/positive regulation of macromolecule metabolic process/positive regulation of metabolic process/signal transduction/regulation of gene expression/regulation of cellular metabolic process/regulation of DNA-templated transcription/regulation of nucleic acid-templated transcription/regulation of cellular biosynthetic process/regulation of metabolic process/regulation of biosynthetic process/regulation of macromolecule biosynthetic process/regulation of nitrogen compound metabolic process/regulation of primary metabolic process/regulation of nucleobase-containing compound metabolic process/regulation of RNA metabolic process/regulation of macromolecule metabolic process/regulation of RNA biosynthetic process/RNA biosynthetic process/DNA-templated transcription/nucleic acid-templated transcription,molecular transducer activity/sequence-specific DNA binding/phosphorelay response regulator activity/adenyl nucleotide binding/ATP binding/adenyl ribonucleotide binding/purine ribonucleoside triphosphate binding/purine ribonucleotide binding/DNA binding/transcription factor binding,NA
zraS,P14377,3497,13530,98.42573,96.96970,0.09404,0.00100,0.87667,0.00100,0.00156,Sensor protein ZraS,Two-component system,phosphorus metabolic process/phosphate-containing compound metabolic process/cell communication/macromolecule modification/response to inorganic substance/response to metal ion/phosphorylation/protein modification process/cellular response to stress/signaling/cellular response to inorganic substance/cellular response to metal ion/phosphorelay signal transduction system/intracellular signal transduction/cellular response to chemical stimulus/signal transduction/peptidyl-histidine phosphorylation/peptidyl-histidine modification/peptidyl-amino acid modification/protein phosphorylation/protein autophosphorylation/response to chemical/cellular response to cell envelope stress/protein metabolic process,"transferase activity, transferring phosphorus-containing groups/phosphotransferase activity, alcohol group as acceptor/kinase activity/adenyl nucleotide binding/ATP binding/adenyl ribonucleotide binding/protein kinase activity/purine ribonucleoside triphosphate binding/purine ribonucleotide binding/small molecule sensor activity/phosphorelay sensor kinase activity/protein histidine kinase activity/phosphotransferase activity, nitrogenous group as acceptor/catalytic activity, acting on a protein",NA
bglA,Q46829,3496,15487,97.42848,95.23810,0.18980,0.00100,0.81682,0.00100,0.00156,6-phospho-beta-glucosidase BglA,Glycolysis / Gluconeogenesis,carbohydrate catabolic process/carbohydrate metabolic process,"hydrolase activity, hydrolyzing O-glycosyl compounds/hydrolase activity, acting on glycosyl bonds",NA
coaA_2,P0A6I3,3496,12509,99.08270,100.00000,0.10205,0.00100,0.33712,0.00100,0.00156,Pantothenate kinase,Biosynthesis of cofactors,purine ribonucleotide metabolic process/ribose phosphate metabolic process/ribonucleotide metabolic process/purine nucleotide metabolic process/purine ribonucleotide biosynthetic process/phosphorus metabolic process/ribose phosphate biosynthetic process/phosphate-containing compound metabolic process/nucleoside bisphosphate metabolic process/ribonucleoside bisphosphate metabolic process/purine nucleoside bisphosphate metabolic process/purine nucleotide biosynthetic process/ribonucleotide biosynthetic process/purine-containing compound metabolic process/nucleoside phosphate metabolic process/purine-containing compound biosynthetic process/nucleotide metabolic process/nucleobase-containing small molecule metabolic process/nucleoside bisphosphate biosynthetic process/ribonucleoside bisphosphate biosynthetic process/purine nucleoside bisphosphate biosynthetic process/organophosphate metabolic process/nucleotide biosynthetic process/nucleoside phosphate biosynthetic process/organophosphate biosynthetic process/phosphorylation/carbohydrate derivative metabolic process/carbohydrate derivative biosynthetic process,"transferase activity, transferring phosphorus-containing groups/phosphotransferase activity, alcohol group as acceptor/kinase activity/adenyl nucleotide binding/ATP binding/adenyl ribonucleotide binding/purine ribonucleoside triphosphate binding/purine ribonucleotide binding",NA
dadX,P29012,3496,20840,97.39083,82.75862,0.23579,0.00100,0.90089,0.00100,0.00156,"Alanine racemase, catabolic",D-Amino acid metabolism,carboxylic acid metabolic process/small molecule biosynthetic process/D-amino acid metabolic process/small molecule catabolic process/cellular catabolic process/organic acid catabolic process/carboxylic acid catabolic process/amino acid biosynthetic process/organic acid biosynthetic process/carboxylic acid biosynthetic process/organonitrogen compound catabolic process/alpha-amino acid biosynthetic process/amino acid metabolic process/amino acid catabolic process/alpha-amino acid catabolic process/alpha-amino acid metabolic process,pyridoxal phosphate binding/vitamin B6 binding/racemase and epimerase activity/vitamin binding/isomerase activity,NA
envC,P37690,3496,19072,97.39143,91.89189,0.10800,0.00100,0.76151,0.00100,0.00156,Murein hydrolase activator EnvC,NA,response to xenobiotic stimulus/positive regulation of molecular function/cellular component organization or biogenesis/regulation of hydrolase activity/positive regulation of catalytic activity/cellular component biogenesis/response to radiation/regulation of molecular function/response to abiotic stimulus/peptidoglycan-based cell wall biogenesis/response to chemical/cell wall biogenesis/cell division/cell wall organization or biogenesis/protein metabolic process/regulation of catalytic activity/proteolysis,"metalloendopeptidase activity/endopeptidase activity/catalytic activity, acting on a protein/metallopeptidase activity/peptidase activity",envelope/cell envelope/outer membrane-bounded periplasmic space/periplasmic space/cell division site
ftnA_1,P0A998,3496,23722,97.93158,82.35294,0.13023,0.00100,0.75205,0.00100,0.00156,Bacterial non-heme ferritin,NA,monoatomic cation transport/metal ion transport/monoatomic ion transport/transition metal ion transport/response to inorganic substance/response to metal ion/chemical homeostasis/inorganic ion homeostasis/iron ion transport/monoatomic ion homeostasis/monoatomic cation homeostasis/cellular response to stress/cellular response to inorganic substance/cellular response to metal ion/cellular response to DNA damage stimulus/homeostatic process/iron ion homeostasis/cellular localization/cellular response to chemical stimulus/intracellular chemical homeostasis/intracellular iron ion homeostasis/response to chemical/intracellular monoatomic ion homeostasis/intracellular monoatomic cation homeostasis/cellular homeostasis/response to oxidative stress,identical protein binding/ferrous iron binding/transition metal ion binding/iron ion binding/sulfur compound binding/oxidoreductase activity,NA
group_1505,NA,3496,15452,98.24619,91.66667,0.09312,0.00100,0.85789,0.00100,0.00156,hypothetical protein,NA,NA,NA,NA
group_6503,NA,3496,15821,98.13780,97.29730,0.19131,0.00100,0.90446,0.00100,0.00156,hypothetical protein,NA,NA,NA,NA
group_7146,NA,3496,13710,98.27181,100.00000,0.09963,0.00100,0.91513,0.00100,0.00156,hypothetical protein,NA,NA,NA,NA
group_7856,NA,3496,14420,98.26419,100.00000,0.16224,0.00100,0.89286,0.00100,0.00156,hypothetical protein,NA,NA,NA,NA
kdpB,P03960,3496,28983,95.94234,72.00000,0.30820,0.00100,0.79354,0.00100,0.00156,Potassium-transporting ATPase ATP-binding subunit,Two-component system,inorganic cation transmembrane transport/inorganic ion transmembrane transport/monoatomic ion transmembrane transport/monoatomic cation transmembrane transport/monoatomic cation transport/metal ion transport/monoatomic ion transport/potassium ion transmembrane transport/potassium ion transport,magnesium ion binding/active monoatomic ion transmembrane transporter activity/inorganic cation transmembrane transporter activity/monoatomic cation transmembrane transporter activity/inorganic molecular entity transmembrane transporter activity/metal ion transmembrane transporter activity/monoatomic ion transmembrane transporter activity/active transmembrane transporter activity/salt transmembrane transporter activity/ATPase-coupled monoatomic cation transmembrane transporter activity/potassium ion transmembrane transporter activity/adenyl nucleotide binding/ATP binding/adenyl ribonucleotide binding/primary active transmembrane transporter activity/purine ribonucleoside triphosphate binding/purine ribonucleotide binding/ATPase-coupled transmembrane transporter activity/ATP-dependent activity,transporter complex/membrane protein complex/transmembrane transporter complex/ATPase dependent transmembrane transport complex
mntP,P76264,3496,11185,98.79593,100.00000,0.13664,0.00100,0.82864,0.00100,0.00156,putative manganese efflux pump MntP,NA,inorganic cation transmembrane transport/inorganic ion transmembrane transport/monoatomic ion transmembrane transport/monoatomic cation transmembrane transport/monoatomic cation transport/metal ion transport/monoatomic ion transport/transition metal ion transport/response to inorganic substance/response to metal ion/response to chemical,inorganic cation transmembrane transporter activity/monoatomic cation transmembrane transporter activity/inorganic molecular entity transmembrane transporter activity/metal ion transmembrane transporter activity/monoatomic ion transmembrane transporter activity/transition metal ion transmembrane transporter activity,NA
mppA,P77348,3496,31037,97.72315,85.00000,0.24375,0.00100,0.72961,0.00100,0.00156,Periplasmic murein peptide-binding protein,beta-Lactam resistance,organic substance transport/monoatomic ion transmembrane transport/macromolecule localization/monoatomic ion transport/monoatomic anion transport/monoatomic anion transmembrane transport/peptide transport/amide transport/oligopeptide transport/cellular localization/protein localization/cellular macromolecule localization/establishment of protein localization/protein transport/nitrogen compound transport,peptide transmembrane transporter activity/amide transmembrane transporter activity/amide binding,transporter complex/membrane protein complex/transmembrane transporter complex/ATPase dependent transmembrane transport complex/envelope/plasma membrane protein complex/cell envelope/ATP-binding cassette (ABC) transporter complex/outer membrane-bounded periplasmic space/periplasmic space
murB,P08373,3496,13545,98.86206,100.00000,0.09117,0.00100,0.54652,0.00100,0.00156,UDP-N-acetylenolpyruvoylglucosamine reductase,Amino sugar and nucleotide sugar metabolism,cellular component organization/cellular component organization or biogenesis/carbohydrate derivative metabolic process/cellular component biogenesis/carbohydrate derivative biosynthetic process/external encapsulating structure organization/cellular macromolecule biosynthetic process/aminoglycan biosynthetic process/glycosaminoglycan biosynthetic process/peptidoglycan biosynthetic process/peptidoglycan-based cell wall biogenesis/cell wall organization/cell wall macromolecule biosynthetic process/cellular component macromolecule biosynthetic process/cell wall biogenesis/aminoglycan metabolic process/peptidoglycan metabolic process/glycosaminoglycan metabolic process/cell wall organization or biogenesis/cell wall macromolecule metabolic process/regulation of cell shape/cell morphogenesis/anatomical structure morphogenesis/regulation of anatomical structure morphogenesis/regulation of cell morphogenesis/anatomical structure development/regulation of developmental process/developmental process,"oxidoreductase activity/flavin adenine dinucleotide binding/oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor/oxidoreductase activity, acting on CH-OH group of donors",NA
rbn,P0A8V0,3496,21959,96.75357,92.68293,0.19925,0.00100,0.70750,0.00100,0.00156,Ribonuclease BN,NA,"RNA phosphodiester bond hydrolysis, endonucleolytic/nucleic acid phosphodiester bond hydrolysis/tRNA metabolic process/RNA phosphodiester bond hydrolysis/tRNA processing/ncRNA metabolic process/RNA processing/ncRNA processing","hydrolase activity, acting on ester bonds/transition metal ion binding/endonuclease activity/RNA endonuclease activity/catalytic activity, acting on a tRNA/zinc ion binding/endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters/catalytic activity, acting on RNA/nuclease activity/ribonuclease activity/exonuclease activity/catalytic activity, acting on a nucleic acid/exoribonuclease activity/RNA exonuclease activity, producing 5'-phosphomonoesters/exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters",NA
sapB_1,Q45514,3496,25642,97.83598,66.66667,0.31238,0.00100,0.83065,0.00100,0.00156,Protein SapB,NA,NA,NA,NA
tauA,Q47537,3496,31260,95.95798,76.92308,0.21258,0.00100,0.71987,0.00100,0.00156,Taurine-binding periplasmic protein,Sulfur metabolism,organic substance transport/response to external stimulus/cell communication/cellular response to extracellular stimulus/cellular response to external stimulus/response to extracellular stimulus/organic anion transport/response to nutrient levels/cellular response to nutrient levels/cellular response to stress/cellular response to starvation/response to starvation/organic acid transport/nitrogen compound transport/sulfur compound transport,NA,transporter complex/membrane protein complex/transmembrane transporter complex/ATPase dependent transmembrane transport complex/envelope/plasma membrane protein complex/cell envelope/ATP-binding cassette (ABC) transporter complex/outer membrane-bounded periplasmic space/periplasmic space
ybaN,NA,3496,12034,98.56744,100.00000,0.16247,0.00100,0.92123,0.00100,0.00156,Inner membrane protein YbaN,NA,NA,NA,NA
yehY,P33361,3496,24294,97.23158,100.00000,0.16951,0.00100,0.84363,0.00100,0.00156,Glycine betaine uptake system permease protein YehY,ABC transporters,organic substance transport/organic anion transport/organic acid transport/carboxylic acid transport/amino-acid betaine transport/quaternary ammonium group transport/nitrogen compound transport/organic cation transport/glycine betaine transport/modified amino acid transport/amino acid transport,NA,"transporter complex/membrane protein complex/transmembrane transporter complex/ATPase dependent transmembrane transport complex/plasma membrane protein complex/ATP-binding cassette (ABC) transporter complex/ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing"
ygjH,P42589,3496,19191,97.90387,100.00000,0.16097,0.00100,0.77800,0.00100,0.00156,tRNA-binding protein YgjH,NA,NA,NA,NA
ynfM,P43531,3496,21385,98.48491,100.00000,0.13934,0.00100,0.82671,0.00100,0.00156,Inner membrane transport protein YnfM,NA,NA,NA,NA
group_1647,NA,3495,11158,98.59683,100.00000,0.15076,0.00100,0.89691,0.00100,0.00156,hypothetical protein,NA,NA,NA,NA
group_2118,NA,3495,19556,97.80331,82.75862,0.24209,0.00100,0.78868,0.00100,0.00156,hypothetical protein,NA,NA,NA,NA
hybO,P69741,3495,14801,98.34227,97.29730,0.11025,0.00100,0.76370,0.00100,0.00156,Hydrogenase-2 small chain,Microbial metabolism in diverse environments,generation of precursor metabolites and energy/energy derivation by oxidation of organic compounds/anaerobic respiration/cellular respiration,electron transfer activity/oxidoreductase activity/iron-sulfur cluster binding/metal cluster binding,extrinsic component of plasma membrane/extrinsic component of membrane/catalytic complex/side of membrane/cell surface/periplasmic side of plasma membrane/external side of plasma membrane/[Ni-Fe] hydrogenase complex
por_1,P80354,3495,29607,96.78897,66.66667,0.17364,0.00100,0.50846,0.00100,0.00156,Polyol:NADP oxidoreductase,NA,NA,NA,NA
pspD,NA,3495,35081,96.92347,88.88889,0.29872,0.00100,0.89061,0.00100,0.00156,Phage shock protein D,NA,NA,NA,NA
rplL,P0A7K2,3495,9213,99.02625,100.00000,0.09319,0.00100,0.86448,0.00100,0.00156,50S ribosomal protein L7/L12,Ribosome,peptide biosynthetic process/translation/peptide metabolic process/amide metabolic process/amide biosynthetic process/cellular macromolecule biosynthetic process/protein metabolic process,"mRNA binding/ribosome binding/RNA binding/ribonucleoprotein complex binding/protein-containing complex binding/pyrophosphatase activity/hydrolase activity, acting on acid anhydrides/hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides/structural constituent of ribosome/GTPase activity/ribonucleoside triphosphate phosphatase activity/structural molecule activity",intracellular organelle/ribosome/intracellular non-membrane-bounded organelle/ribosomal subunit/cytosolic ribosome/large ribosomal subunit/cytosolic large ribosomal subunit/organelle/ribonucleoprotein complex/non-membrane-bounded organelle
ssuC_2,P40401,3495,29316,96.38252,80.00000,0.19804,0.00100,0.77559,0.00100,0.00156,Putative aliphatic sulfonates transport permease protein SsuC,NA,NA,NA,NA
ydfG,P39831,3495,29092,97.01221,68.29268,0.16464,0.00100,0.51380,0.00100,0.00156,NADP-dependent 3-hydroxy acid dehydrogenase YdfG,"Glycine, serine and threonine metabolism",nucleobase-containing small molecule metabolic process/cellular catabolic process/organic cyclic compound catabolic process/pyrimidine-containing compound catabolic process/cellular nitrogen compound catabolic process/pyrimidine-containing compound metabolic process/organonitrogen compound catabolic process/heterocycle catabolic process/nucleobase catabolic process/pyrimidine nucleobase metabolic process/pyrimidine nucleobase catabolic process/nucleobase metabolic process,"oxidoreductase activity/oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor/oxidoreductase activity, acting on CH-OH group of donors",NA
arcB,P0AEC3,3494,13912,98.05902,92.68293,0.17709,0.00100,0.76060,0.00100,0.00156,Aerobic respiration control sensor protein ArcB,Biofilm formation,dephosphorylation/phosphorus metabolic process/phosphate-containing compound metabolic process/cell communication/macromolecule modification/protein dephosphorylation/phosphorylation/protein modification process/signaling/phosphorelay signal transduction system/intracellular signal transduction/signal transduction/regulation of gene expression/peptidyl-histidine phosphorylation/peptidyl-histidine modification/peptidyl-amino acid modification/regulation of cellular metabolic process/regulation of DNA-templated transcription/regulation of nucleic acid-templated transcription/response to abiotic stimulus/protein phosphorylation/regulation of cellular biosynthetic process/regulation of metabolic process/regulation of biosynthetic process/protein autophosphorylation/regulation of macromolecule biosynthetic process/regulation of nitrogen compound metabolic process/regulation of primary metabolic process/regulation of nucleobase-containing compound metabolic process/regulation of RNA metabolic process/regulation of macromolecule metabolic process/regulation of RNA biosynthetic process/protein metabolic process/RNA biosynthetic process/DNA-templated transcription/nucleic acid-templated transcription,"phosphoric ester hydrolase activity/phosphatase activity/hydrolase activity, acting on ester bonds/transferase activity, transferring phosphorus-containing groups/phosphotransferase activity, alcohol group as acceptor/phosphoprotein phosphatase activity/kinase activity/adenyl nucleotide binding/ATP binding/adenyl ribonucleotide binding/protein kinase activity/purine ribonucleoside triphosphate binding/purine ribonucleotide binding/small molecule sensor activity/phosphorelay sensor kinase activity/protein histidine kinase activity/phosphotransferase activity, nitrogenous group as acceptor/catalytic activity, acting on a protein",NA
cobC,P52086,3494,16410,98.44258,94.11765,0.17939,0.00100,0.85060,0.00100,0.00156,Adenosylcobalamin/alpha-ribazole phosphatase,Biosynthesis of cofactors,dephosphorylation/phosphorus metabolic process/phosphate-containing compound metabolic process/small molecule biosynthetic process/tetrapyrrole metabolic process/vitamin biosynthetic process/vitamin metabolic process/water-soluble vitamin biosynthetic process/tetrapyrrole biosynthetic process/water-soluble vitamin metabolic process,"phosphoric ester hydrolase activity/phosphatase activity/hydrolase activity, acting on ester bonds",NA
dppB,P0AEF8,3494,21907,97.04086,80.00000,0.16076,0.00100,0.83251,0.00100,0.00156,Dipeptide transport system permease protein DppB,ABC transporters,organic substance transport/macromolecule localization/monoatomic cation transport/metal ion transport/monoatomic ion transport/transition metal ion transport/iron coordination entity transport/peptide transport/iron ion transport/amide transport/dipeptide transmembrane transport/oligopeptide transmembrane transport/oligopeptide transport/dipeptide transport/cellular localization/protein localization/cellular macromolecule localization/establishment of protein localization/protein transport/nitrogen compound transport,peptide transmembrane transporter activity/amide transmembrane transporter activity/oligopeptide transmembrane transporter activity/dipeptide transmembrane transporter activity,"transporter complex/membrane protein complex/transmembrane transporter complex/ATPase dependent transmembrane transport complex/plasma membrane protein complex/ATP-binding cassette (ABC) transporter complex/ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing"
gdx,P69937,3494,12422,98.31610,97.14286,0.17739,0.00100,0.74805,0.00100,0.00156,Guanidinium exporter,NA,monoatomic ion transport/xenobiotic transport/response to toxic substance/xenobiotic export from cell/xenobiotic detoxification by transmembrane export across the plasma membrane/detoxification/export from cell/export across plasma membrane/response to chemical,NA,NA
gfcB_2,P75884,3494,21403,97.52350,75.86207,0.24091,0.00100,0.82263,0.00100,0.00156,putative lipoprotein GfcB,NA,NA,NA,NA
group_2178,NA,3494,25940,97.16521,86.95652,0.12153,0.00100,0.47936,0.00100,0.00156,hypothetical protein,NA,NA,NA,NA
group_5965,NA,3494,17967,97.17249,97.29730,0.20631,0.00100,0.87334,0.00100,0.00156,hypothetical protein,NA,NA,NA,NA
group_968,NA,3494,12520,98.48939,96.55172,0.15301,0.00100,0.92711,0.00100,0.00156,hypothetical protein,NA,NA,NA,NA
group_999,NA,3494,20262,97.67471,76.92308,0.23237,0.00100,0.80308,0.00100,0.00156,hypothetical protein,NA,NA,NA,NA
hybF,P0A703,3494,20717,97.90859,87.50000,0.12936,0.00100,0.70523,0.00100,0.00156,Hydrogenase maturation factor HybF,NA,macromolecule modification/protein modification process/protein maturation/protein metabolic process,transition metal ion binding/zinc ion binding/nickel cation binding,NA
hybG,P0AAM7,3494,20984,97.95441,87.50000,0.13057,0.00100,0.68779,0.00100,0.00156,Hydrogenase maturation factor HybG,NA,protein maturation/protein metabolic process,identical protein binding/transition metal ion binding/iron ion binding,NA
lapB_1,NA,3494,19858,97.24144,89.47368,0.24996,0.00100,0.90834,0.00100,0.00156,Lipopolysaccharide assembly protein B,NA,NA,NA,NA
lolD_2,P75957,3494,27540,96.61333,75.86207,0.22678,0.00100,0.78486,0.00100,0.00156,Lipoprotein-releasing system ATP-binding protein LolD,ABC transporters,organic substance transport/macromolecule localization/cellular localization/localization within membrane/protein localization to membrane/protein localization/cellular macromolecule localization/establishment of protein localization/protein transport/nitrogen compound transport,"adenyl nucleotide binding/ATP binding/pyrophosphatase activity/adenyl ribonucleotide binding/protein transporter activity/hydrolase activity, acting on acid anhydrides/hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides/purine ribonucleoside triphosphate binding/purine ribonucleotide binding/ATP hydrolysis activity/ribonucleoside triphosphate phosphatase activity/ATP-dependent activity",membrane protein complex/plasma membrane protein complex
menH,P37355,3494,19400,97.13480,95.00000,0.10277,0.00100,0.85243,0.00100,0.00156,"2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase",Biosynthesis of secondary metabolites,small molecule biosynthetic process/quinone metabolic process/quinone biosynthetic process/cellular ketone metabolic process/ketone biosynthetic process,lyase activity/carbon-oxygen lyase activity,NA
